Line,Rep,Nitrogen,Height,Cut,Branches,Total.seeds,Primary.seeds,% Primary of Total
Blue,7,High,89,N,9,249,53,21.28514056
Yellow,17,High,95,N,9,295,64,21.69491525
Blue,3,High,88.5,N,5,210,48,22.85714286
Yellow,11,High,92,N,7,226,52,23.00884956
Yellow,18,High,95.5,N,9,214,51,23.8317757
Yellow,3,High,95.5,N,9,310,76,24.51612903
Pink,2,High,78,N,7,292,73,25
Pink,17,High,87.5,N,7,277,71,25.63176895
Blue,11,High,88,N,9,195,50,25.64102564
Yellow,10,High,95,N,9,259,69,26.64092664
Blue,8,High,89.5,N,9,201,54,26.86567164
Pink,18,High,81.5,N,9,268,72,26.86567164
Blue,5,High,93,N,8,182,49,26.92307692
Pink,2,High,74.5,N,7,270,74,27.40740741
Yellow,15,High,91.1,N,7,233,64,27.46781116
Yellow,6,High,93,N,7,238,67,28.1512605
Yellow,1,High,48,N,4,105,30,28.57142857
Blue,10,High,85.5,N,9,158,46,29.11392405
Blue,17,High,86,N,4,171,50,29.23976608
Pink,16,High,74.5,N,7,206,61,29.61165049
Yellow,14,High,90.5,N,6,206,61,29.61165049
Pink,8,High,88.5,N,4,232,69,29.74137931
Yellow,16,High,80.5,N,6,228,68,29.8245614
Pink,3,High,75.5,N,6,229,69,30.13100437
Pink,6,High,75.5,N,8,232,70,30.17241379
Blue,12,High,88,N,9,184,56,30.43478261
Yellow,2,Low,54,N,6,85,26,30.58823529
Blue,2,High,88,N,6,173,53,30.63583815
Blue,18,High,93,N,7,157,49,31.21019108
Blue,9,High,85.5,N,7,163,51,31.28834356
Blue,6,High,88,N,6,149,47,31.54362416
Blue,4,High,84,N,6,150,49,32.66666667
Yellow,7,High,92,N,5,159,52,32.70440252
Yellow,9,High,90.5,N,7,189,65,34.39153439
Pink,9,High,96.5,N,9,218,76,34.86238532
Pink,12,High,89,N,6,226,79,34.95575221
Yellow,5,High,97,N,8,181,70,38.67403315
Pink,4,High,77.5,N,5,160,62,38.75
Pink,5,High,58,N,4,135,53,39.25925926
Pink,15,High,71,N,5,143,58,40.55944056
Pink,13,High,76.5,N,5,157,64,40.76433121
Pink,5,Low,68.5,N,4,93,38,40.86021505
Blue,10,Low,71.5,N,5,104,43,41.34615385
Blue,4,High,84,N,7,119,50,42.01680672
Yellow,1,Low,72.5,N,5,92,39,42.39130435
Pink,7,High,84.5,N,4,143,61,42.65734266
Pink,1,High,74.5,N,8,157,67,42.67515924
Yellow,13,High,93.5,N,6,144,62,43.05555556
Blue,4,Low,66.5,N,4,72,32,44.44444444
Blue,12,Low,68,N,4,69,32,46.37681159
Yellow,12,Low,75,N,4,72,34,47.22222222
Pink,4,Low,71,N,4,96,49,51.04166667
Pink,11,High,84,N,6,143,73,51.04895105
Blue,8,Low,68.5,N,3,55,29,52.72727273
Yellow,13,Low,70,N,3,81,43,53.08641975
Blue,16,Low,71,N,3,54,29,53.7037037
Blue,6,Low,66,N,3,50,27,54
Blue,1,High,85,N,8,80,44,55
Blue,7,Low,70.5,N,4,54,30,55.55555556
Pink,10,High,76.5,N,7,97,56,57.73195876
Blue,9,Low,65,N,3,46,28,60.86956522
Yellow,6,Low,66.5,N,3,49,30,61.2244898
Blue,15,Low,68.5,N,3,36,23,63.88888889
Pink,3,Low,75,N,4,64,41,64.0625
Pink,7,Low,45,N,2,31,20,64.51612903
Yellow,9,Low,74.5,N,3,48,31,64.58333333
Pink,17,Low,63.5,N,3,52,36,69.23076923
Pink,2,Low,61.5,N,2,52,37,71.15384615
Blue,14,Low,69.5,N,3,33,24,72.72727273
Blue,5,Low,60.5,N,2,34,25,73.52941176
Pink,16,Low,47,N,2,29,22,75.86206897
Blue,17,Low,72,N,2,30,23,76.66666667
Pink,6,Low,60,N,2,49,38,77.55102041
Pink,10,Low,61.5,N,2,37,30,81.08108108
Pink,15,Low,52.5,N,2,23,19,82.60869565
Pink,13,Low,55.5,N,2,38,32,84.21052632
Yellow,14,Low,63.5,N,2,36,31,86.11111111
Blue,13,Low,55,N,1,12,12,100
Blue,3,Low,51.5,N,1,13,13,100
Yellow,8,Low,45,N,1,15,15,100
Blue,1,Low,20,N,1,16,16,100
Blue,2,Low,53,N,1,16,16,100
Blue,18,Low,57,N,1,16,16,100
Pink,18,Low,46.5,N,1,17,17,100
Yellow,15,Low,48,N,1,17,17,100
Pink,9,Low,50,N,1,18,18,100
Yellow,16,Low,51,N,1,18,18,100
Pink,14,Low,45,N,1,19,19,100
Yellow,7,Low,56.6,N,1,19,19,100
Yellow,5,Low,59.5,N,1,21,21,100
Pink,8,Low,53,N,1,23,23,100
Yellow,11,Low,63.5,N,1,27,27,100
Pink,1,Low,56,N,1,31,31,100
