Line,Rep,Nitrogen,Height,Cut,Branches,Architecture,Total.seeds,Primary.seeds,Beta,Beta.seeds,Zeta,Zeta.seeds,Kappa,Kappa.seeds,Tau,Tau.seeds,Chi,Chi.seeds,Xi,Xi.seeds,Upsilon,Upsilon.seeds,Omega,Omega.seeds
Blue,17,High,86,N,4,D,171,50,0,0,1,0,1,1,1,25,1,24,1,36,1,11,1,24
Blue,3,High,88.5,N,5,E,210,48,1,15,1,18,1,15,1,26,1,22,1,26,0,0,1,40
Pink,3,High,75.5,N,6,F,229,69,0,0,1,29,1,36,1,31,1,41,1,23,0,0,0,0
Yellow,14,High,90.5,N,6,F,206,61,0,0,1,28,0,0,1,40,1,4,1,50,1,23,0,0
Yellow,16,High,80.5,N,6,F,228,68,0,0,1,15,1,15,1,25,1,30,1,36,1,39,0,0
Yellow,6,High,93,N,7,G,238,67,1,4,1,29,1,31,1,31,1,41,1,35,0,0,0,0
Pink,16,High,74.5,N,7,G,206,61,1,14,1,3,0,0,1,42,1,31,1,31,1,24,0,0
Yellow,9,High,90.5,N,7,G,189,65,0,0,1,0,1,12,1,28,1,25,1,24,1,35,0,0
Yellow,11,High,92,N,7,G,226,52,1,0,1,24,1,27,1,26,1,31,1,36,1,30,0,0
Blue,9,High,85.5,N,7,G,163,51,1,1,1,3,1,10,1,19,1,15,1,8,1,27,1,29
Pink,6,High,75.5,N,8,H,232,70,0,0,1,21,1,27,1,30,1,20,1,34,1,30,0,0
Blue,7,High,89,N,9,I,249,53,1,14,1,12,1,5,1,34,1,12,1,36,1,29,0,0
Blue,11,High,88,N,9,I,195,50,0,0,1,4,1,24,1,5,1,50,1,26,0,0,1,36
Yellow,17,High,95,N,9,I,295,64,1,47,1,7,0,0,1,36,1,39,1,41,1,41,1,20
Yellow,18,High,95.5,N,9,I,214,51,0,0,1,0,1,26,1,17,1,16,1,60,1,18,1,26
Pink,18,High,81.5,N,9,I,268,72,0,0,1,20,1,20,1,45,1,35,1,35,1,26,1,15
Yellow,3,High,95.5,N,9,I,310,76,0,0,1,38,1,34,1,29,1,34,1,29,1,45,1,25
Blue,10,High,85.5,N,9,I,158,46,1,4,1,11,1,7,1,6,1,15,1,32,1,22,1,15
Yellow,10,High,95,N,9,I,259,69,1,0,1,53,1,20,1,22,1,34,1,4,1,26,1,31
